商品コード,商品名,繰越残数,入荷数量,出荷数量,在庫残数,在庫単価,在庫金額
2353,加工費用,0,0,0,0,,0
1100270,"ウルトラ ホエイダイエットプロテイン チョコレート風味 1,000g",25848,14840,10572,30116,2396.1,72160947
1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",24138,34550,12807,45881,2329.7,106888965
1100272,"ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 1,000g",21422,9673,5790,25305,2343.8,59309859
1100273,"ウルトラ ホエイダイエットプロテイン ココナッツチョコレート風味 1,000g",8217,8000,5030,11187,2232.4,24973858
1100274,"ウルトラ ホエイダイエットプロテイン フルーツオレ風味 1,000g",17433,8000,3622,21811,2264.9,49399733
1100275,"ウルトラ ホエイダイエットプロテイン ほうじ茶ラテ風味 1,000g",11205,0,2310,8895,2361.7,21007321
1100276,"ウルトラ ホエイダイエットプロテイン 紫芋風味 1,000g",14128,0,1980,12148,2335.5,28371654
1100277,ウルトラ ホエイダイエットプロテイン チョコレート風味 450g,28360,17920,17916,28364,1117.9,31708115
1100278,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 450g,19615,21120,18159,22576,1180.8,26657740
1100279,ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 450g,10296,7120,12119,5297,1142,6049174
1100280,ウルトラ ホエイダイエットプロテイン ココナッツチョコレート風味 450g,13770,0,1674,12096,1157.6,14002329
1100281,ウルトラ ホエイダイエットプロテイン フルーツオレ風味 450g,9677,1600,1029,10248,1111.4,11389627
1100282,ウルトラ ホエイダイエットプロテイン ほうじ茶ラテ風味 450g,11862,0,1964,9898,1258.9,12460592
1100283,ウルトラ ホエイダイエットプロテイン 紫芋風味 450g,13627,0,1391,12236,1256.7,15376981
1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,31345,4950,20973,15322,2208.6,33840169
1100285,ウルトラ スローダイエットプロテイン カフェラテ風味　1000g,5709,21440,7569,19580,1910,37397800
1100286,ウルトラ スローダイエットプロテイン ブルーベリー風味　1000ｇ,16555,4930,3720,17765,2155.8,38297787
1100287,ウルトラ ソイダイエットプロテイン バナナ風味 500g,11288,5000,4682,11606,1291.6,14990309
1100288,ウルトラ ソイダイエットプロテイン 杏仁風味 500g,8491,0,1806,6685,1333.3,8913110
1100289,ウルトラ ソイダイエットプロテイン ココア風味 500g,16405,560,6981,9984,1372.2,13700044
1100290,ウルトラ BCAA ザ・ブースト レモン風味　500g,6317,0,583,5734,2035.1,11669263
