実行日時: 2023-12-10 17:18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検索条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計単位: 商品別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計期間: 全期間で集計 2023-12-01 - 2023-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コントロールカラム,日付,商品ページURL,商品管理番号,入札単価,CTR(%),商品CPC,クリック数(合計),実績額(合計),CPC実績(合計),クリック数(新規),実績額(新規),CPC実績(新規),クリック数(既存),実績額(既存),CPC実績(既存),売上金額(合計12時間),売上件数(合計12時間),CVR(合計12時間)(%),ROAS(合計12時間)(%),注文獲得単価(合計12時間),売上金額(合計720時間),売上件数(合計720時間),CVR(合計720時間)(%),ROAS(合計720時間)(%),注文獲得単価(合計720時間),売上金額(新規12時間),売上件数(新規12時間),CVR(新規12時間)(%),ROAS(新規12時間)(%),注文獲得単価(新規12時間),売上金額(新規720時間),売上件数(新規720時間),CVR(新規720時間)(%),ROAS(新規720時間)(%),注文獲得単価(新規720時間),売上金額(既存12時間),売上件数(既存12時間),CVR(既存12時間)(%),ROAS(既存12時間)(%),注文獲得単価(既存12時間),売上金額(既存720時間),売上件数(既存720時間),CVR(既存720時間)(%),ROAS(既存720時間)(%),注文獲得単価(既存720時間)
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ulwsp2p/,ulwsp2p,15,0.06,,91,1365,15,56,840,15,35,525,15,17140,2,2.19,1255.67,683,51580,4,4.39,3778.75,342,0,0,0,0,0,0,0,0,0,0,17140,2,5.71,3264.76,263,51580,4,11.42,9824.76,132
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ulwp450-2p/,ulwp450-2p,40,0.17,,679,21145,32,505,15775,32,174,5370,31,388490,54,7.95,1837.26,392,471340,65,9.57,2229.08,326,232820,36,7.12,1475.87,439,300450,44,8.71,1904.59,359,155670,18,10.34,2898.88,299,170890,21,12.06,3182.3,256
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ulwp450/,ulwp450,50,0.26,,1062,47570,45,863,38800,45,199,8770,45,348710,63,5.93,733.04,756,376630,67,6.3,791.73,710,172360,33,3.82,444.22,1176,193300,36,4.17,498.19,1078,176350,30,15.07,2010.83,293,183330,31,15.57,2090.42,283
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ulsp0002/,ulsp0002,40,0.14,,1489,47930,33,1180,38100,33,309,9830,32,607110,87,5.84,1266.65,551,778520,110,7.38,1624.28,436,360260,49,4.15,945.56,778,438670,60,5.08,1151.36,635,246850,38,12.29,2511.19,259,339850,50,16.18,3457.27,197
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ulsp0001/,ulsp0001,15,0.1,,91,3915,44,75,3150,42,16,765,48,23210,2,2.19,592.84,1958,23210,2,2.19,592.84,1958,5990,1,1.33,190.15,3150,5990,1,1.33,190.15,3150,17220,1,6.25,2250.98,765,17220,1,6.25,2250.98,765
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ulsoy0002/,ulsoy0002,15,0.02,,198,3450,18,144,2520,18,54,930,18,64240,10,5.05,1862.02,345,102250,15,7.57,2963.76,230,30320,5,3.47,1203.17,504,30320,5,3.47,1203.17,504,33920,5,9.25,3647.31,186,71930,10,18.51,7734.4,93
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ul0001/,ul0001,40,0.12,,18539,732800,40,17263,682170,40,1276,50630,40,2146000,253,1.36,292.84,2897,2791110,322,1.73,380.88,2276,744230,88,0.5,109.09,7752,888980,108,0.62,130.31,6317,1401770,165,12.93,2768.65,307,1902130,214,16.77,3756.92,237
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ul-tt01/,ul-tt01,15,0.05,,10,150,15,7,105,15,3,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ul-sb01/,ul-sb01,15,0.15,,21,315,15,19,285,15,2,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/ultora/ul-3p/,ul-3p,15,0.02,,26,390,15,15,225,15,11,165,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
