ショップ名,注文番号,在庫ID,商品名,単価,数量,合計金額,税率,送料,手数料,出荷確定日,自由項目1,取込フォーマット名（APIカート内ショップ名）,自由項目2
FBA（Leo）,249-8970407-5270236-UL,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-2844780-0203034-UL,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-7278092-9243868-UL,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-0716076-7079850-UL,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-8233654-1910238-UL,1100272,"ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,503-3063801-5809413-UL,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",11880,2,23760,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-4998851-7994226-UL,1100278,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 450g,3690,1,3690,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-9402605-0729402-UL,1100273,"ウルトラ ホエイダイエットプロテイン ココナッツチョコレート風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-2251331-4775833-UL,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-7619158-4555062-UL,1100277,ウルトラ ホエイダイエットプロテイン チョコレート風味 450g,3690,1,3690,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-8187009-9456645-UL,1100278,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 450g,3690,1,3690,0.08,215,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-8177325-2637410-UL,1100272,"ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-5611844-6867004-UL,1100273,"ウルトラ ホエイダイエットプロテイン ココナッツチョコレート風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,503-9806723-4316648-UL,1100278,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 450g,3690,1,3690,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-2651029-3411849-UL,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-0459069-1810211-UL,1100278,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 450g,3690,1,18450,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-0459069-1810211-UL,1100281,ウルトラ ホエイダイエットプロテイン フルーツオレ風味 450g,3690,1,0,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-0459069-1810211-UL,1100282,ウルトラ ホエイダイエットプロテイン ほうじ茶ラテ風味 450g,3690,1,0,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-0459069-1810211-UL,1100279,ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 450g,3690,1,0,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-0459069-1810211-UL,1100283,ウルトラ ホエイダイエットプロテイン 紫芋風味 450g,3690,1,0,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-2646063-1414226-UL,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-2051324-0865420-UL,1100288,ウルトラ ソイダイエットプロテイン 杏仁風味 500g,3990,1,3990,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,503-7218293-1292633-UL,1100277,ウルトラ ホエイダイエットプロテイン チョコレート風味 450g,3690,1,7380,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,503-7218293-1292633-UL,1100278,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 450g,3690,1,0,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-2956071-8375003-UL,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5940,1,11880,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-2956071-8375003-UL,1100270,"ウルトラ ホエイダイエットプロテイン チョコレート風味 1,000g",5940,1,0,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,250-2524823-8919850-UL,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,503-0684018-6095031-UL,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5940,1,5940,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
FBA（Leo）,249-8431814-0614245-UL,1100278,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 450g,3690,1,3690,0.08,0,0,"",2023/10/20,"311040,ウルトラFBAテナント用",
