実行日時: 2023-12-12 10:07:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検索条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計単位: 商品別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計期間: 全期間で集計 2023-12-01 - 2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コントロールカラム,日付,商品ページURL,商品管理番号,入札単価,CTR(%),商品CPC,クリック数(合計),実績額(合計),CPC実績(合計),クリック数(新規),実績額(新規),CPC実績(新規),クリック数(既存),実績額(既存),CPC実績(既存),売上金額(合計12時間),売上件数(合計12時間),CVR(合計12時間)(%),ROAS(合計12時間)(%),注文獲得単価(合計12時間),売上金額(合計720時間),売上件数(合計720時間),CVR(合計720時間)(%),ROAS(合計720時間)(%),注文獲得単価(合計720時間),売上金額(新規12時間),売上件数(新規12時間),CVR(新規12時間)(%),ROAS(新規12時間)(%),注文獲得単価(新規12時間),売上金額(新規720時間),売上件数(新規720時間),CVR(新規720時間)(%),ROAS(新規720時間)(%),注文獲得単価(新規720時間),売上金額(既存12時間),売上件数(既存12時間),CVR(既存12時間)(%),ROAS(既存12時間)(%),注文獲得単価(既存12時間),売上金額(既存720時間),売上件数(既存720時間),CVR(既存720時間)(%),ROAS(既存720時間)(%),注文獲得単価(既存720時間)
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ulwsp2p/,ulwsp2p,15,0.06,,117,1755,15,75,1125,15,42,630,15,17140,2,1.7,976.63,878,74540,6,5.12,4247.29,293,0,0,0,0,0,5740,1,1.33,510.22,1125,17140,2,4.76,2720.63,315,68800,5,11.9,10920.63,126
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ulwp450-2p/,ulwp450-2p,40,0.17,,937,31465,34,702,23655,34,235,7810,34,597590,82,8.75,1899.22,384,785020,107,11.41,2494.89,295,354320,54,7.69,1497.86,439,469120,69,9.82,1983.17,343,243270,28,11.91,3114.85,279,315900,38,16.17,4044.81,206
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ulwp450/,ulwp450,50,0.26,,1702,79570,47,1402,65750,47,300,13820,47,567980,108,6.34,713.81,737,778020,135,7.93,977.78,590,301350,61,4.35,458.32,1078,415300,77,5.49,631.63,854,266630,47,15.66,1929.3,295,362720,58,19.33,2624.6,239
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ulsp0002/,ulsp0002,40,0.15,,1826,61410,34,1430,48100,34,396,13310,34,880790,128,7,1434.27,480,1278270,173,9.47,2081.53,355,491940,70,4.89,1022.74,688,664400,91,6.36,1381.28,529,388850,58,14.64,2921.48,230,613870,82,20.7,4612.09,163
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ulsp0001/,ulsp0001,15,0.1,,106,4590,44,84,3510,42,22,1080,50,35930,3,2.83,782.78,1530,47330,4,3.77,1031.15,1148,5990,1,1.19,170.65,3510,5990,1,1.19,170.65,3510,29940,2,9.09,2772.22,540,41340,3,13.63,3827.77,360
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ulsoy0002/,ulsoy0002,15,0.02,,262,4470,18,198,3390,18,64,1080,17,79400,12,4.58,1776.28,373,117410,17,6.48,2626.62,263,37900,6,3.03,1117.99,565,37900,6,3.03,1117.99,565,41500,6,9.37,3842.59,180,79510,11,17.18,7362.03,99
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ul0001/,ul0001,40,0.11,,24227,960320,40,22582,894930,40,1645,65390,40,3228550,380,1.56,336.19,2528,4608790,529,2.18,479.92,1816,1081340,127,0.56,120.82,7047,1424190,170,0.75,159.13,5265,2147210,253,15.37,3283.69,259,3184600,359,21.82,4870.16,183
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ul-tt01/,ul-tt01,15,0.06,,15,225,15,12,180,15,3,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ul-sb01/,ul-sb01,15,0.19,,32,480,15,30,450,15,2,30,15,1990,1,3.12,414.58,480,7730,2,6.25,1610.41,240,1990,1,3.33,442.22,450,7730,2,6.66,1717.77,225,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/ultora/ul-3p/,ul-3p,15,0.02,,31,465,15,19,285,15,12,180,15,5740,1,3.22,1234.4,465,5740,1,3.22,1234.4,465,0,0,0,0,0,0,0,0,0,0,5740,1,8.33,3188.88,180,5740,1,8.33,3188.88,180
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/r-sg-01/,r-sg-01,27,0.14,,248,6696,27,186,5022,27,62,1674,27,39630,5,2.01,591.84,1340,67110,7,2.82,1002.24,957,25890,3,1.61,515.53,1674,25890,3,1.61,515.53,1674,13740,2,3.22,820.78,837,41220,4,6.45,2462.36,419
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/ne_ha_01/,ne_ha_01,65,0.34,,514,69518,136,460,64504,141,54,5014,93,134640,39,7.58,193.67,1783,178200,48,9.33,256.33,1449,93060,31,6.73,144.27,2081,124740,37,8.04,193.38,1744,41580,8,14.81,829.27,627,53460,11,20.37,1066.21,456
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_smo_03/,lo_smo_03,25,0.15,,99,2475,25,73,1825,25,26,650,25,18900,4,4.04,763.63,619,25860,6,6.06,1044.84,413,3980,1,1.36,218.08,1825,3980,1,1.36,218.08,1825,14920,3,11.53,2295.38,217,21880,5,19.23,3366.15,130
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_smo_0103/,lo_smo_0103,25,0.16,,93,2355,26,89,2255,26,4,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_smo_01/,lo_smo_01,40,0.13,,433,18024,42,381,15844,42,52,2180,42,74180,15,3.46,411.56,1202,98076,21,4.84,544.14,859,39800,9,2.36,251.19,1761,55720,13,3.41,351.67,1219,34380,6,11.53,1577.06,364,42356,8,15.38,1942.93,273
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rst_1103_bottle/,lo_rst_1103_bottle,25,0.24,,51,1275,25,35,875,25,16,400,25,6990,1,1.96,548.23,1275,55848,5,9.8,4380.23,255,0,0,0,0,0,0,0,0,0,0,6990,1,6.25,1747.5,400,55848,5,31.25,13962,80
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rst_1102_bottle/,lo_rst_1102_bottle,25,0.14,,44,1100,25,27,675,25,17,425,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rsssmo_01/,lo_rsssmo_01,10,0.28,,200,2120,11,187,1930,11,13,190,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rss_14/,lo_rss_14,10,0.09,,15,150,10,13,130,10,2,20,10,3980,1,6.66,2653.33,150,3980,1,6.66,2653.33,150,0,0,0,0,0,0,0,0,0,0,3980,1,50,19900,20,3980,1,50,19900,20
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rss_1202/,lo_rss_1202,15,0.16,,52,780,15,49,735,15,3,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rss_03/,lo_rss_03,30,0.09,,680,20805,31,637,19425,31,43,1380,33,99284,23,3.38,477.21,905,133744,29,4.26,642.84,718,48752,12,1.88,250.97,1619,71224,15,2.35,366.66,1295,50532,11,25.58,3661.73,126,62520,14,32.55,4530.43,99
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rss_0203/,lo_rss_0203,15,0.12,,210,3500,17,190,2885,16,20,615,31,55920,4,1.9,1597.71,875,119832,8,3.8,3423.77,438,0,0,0,0,0,3996,1,0.52,138.5,2885,55920,4,20,9092.68,154,115836,7,35,18835.12,88
